Individual ID	Original Coverage	100x Coverage	80x Coverage	60x Coverage	30x-40x Coverage
IID_H133673	98		81	60	32
IID_H134753	105		80	60	33
IID_H134754	67			60	32
IID_H134755	81			60	32
IID_H134756	91		80	60	32
IID_H134757	71			60	32
IID_H134202	67			60	33
IID_H135022	114	100	80	60	33
IID_H135062	92		80	60	33
IID_H135066	77			60	32
IID_H135073	104		80	60	33
IID_H135074	81			60	32
IID_H135076	87		80	60	33
IID_H133676	69			60	34
IID_H134769	103		80	60	33
IID_H135387	98		80	60	33
IID_H135393	81			60	32
IID_H135421	149	100	80	60	33
IID_H135463	76			60	33
IID_H135420	127	100	80	60	34
IID_H134733	69			60	33
IID_H135467	111	100	80	60	35
IID_H108333	114	101	80	60	33
IID_H135459	90		80	60	33
IID_H135466	103		80	60	33
IID_H135973	106	101	81	60	34
IID_H135963	91		80	59	33
IID_H135967	99		80	60	34
IID_H135988	113	100	80	60	35
IID_H135990	108	100	79	59	34
IID_H136062	78			60	34
IID_H136134	99		80	60	32
IID_H136136	128	100	80	60	33
IID_H135089	108	100	80	60	34
IID_H136083	94		80	60	36
IID_H136139	81			59	35
IID_H136375	98		80	60	34
IID_H136424	133	100	81	60	36
IID_H136425	117	100	80	60	36
IID_H136428	114	100	80	60	35
IID_H135088	89		80	59	32
IID_H133672	101		80	60	32
IID_H133671	92		80	60	32
IID_H133675	144	100	80	60	32
IID_H133674	95		80	60	32
IID_H136631	82			60	33
IID_H136632	113	100	80	60	37
IID_H136633	107	100	80	60	36
IID_H136640	83			60	35
IID_H136641	86		80	60	35
IID_H136648	181	100	80	60	36
IID_H156407	95		79	60	34
IID_H156409	80			60	34
IID_H156416	93		79	60	33
IID_H136433	82			60	34
IID_H156418	106	100	80	60	32
IID_H158151	76			60	33
IID_H158180	91		80	60	33
IID_H158181	99		80	60	33
IID_H158182	155	100	79	59	34
IID_H158183	85			60	33
IID_H158184	92		80	60	33
IID_H158223	86		80	60	34
IID_H158271	110	100	80	60	34
IID_H158273	117	99	79	58	33
IID_H134768	77			60	39
IID_H158493	89		80	60	33
IID_H134738	91		80	60	34
IID_H158878	95		80	60	35
IID_H158880	115	100	79	59	34
IID_H158916	84			60	32
IID_H158917	101		80	60	35
IID_H158918	88		80	60	34
IID_H158919	146	100	80	60	36
IID_H159103	107	100	80	60	35
IID_H159153	130	100	80	60	38
IID_H159369	109	100	80	60	36
IID_H159370	86		79	59	34
IID_H159371	102		80	60	36
IID_H159446	122	100	80	60	35
IID_H195916	91		80	60	36
IID_H195918	93		81	60	35
IID_H195921	91		80	60	34
IID_H195922	91		80	60	34
IID_H195923	74			60	33
IID_H135462	142	100	80	60	39
IID_H195989	171	101	81	61	38
IID_H195990	83			60	40
IID_H195991	79			59	42
IID_H195992	94		80	60	34
IID_H196046	81			60	34
IID_H196094	90		80	59	33
IID_H196095	93		80	60	34
IID_H196227	78			60	35
IID_H196231	132	99	79	59	31
IID_H196232	122	100	79	60	32
IID_H195920	144	100	80	60	32
